CategoryCode,ItemCode,DateID,DailySales
category_1,1056463,11/12/2021,3
category_2,87559,11/18/2021,5
category_2,1098493,11/6/2021,1
category_2,30877,2/9/2022,7
category_1,1032532,1/24/2022,10
category_2,59749,11/18/2021,8
category_2,172033,1/24/2022,7
category_2,41830,12/9/2021,2
category_1,1048975,11/6/2021,2
category_2,87559,11/12/2021,3
category_1,142756,1/24/2022,19
category_4,1003156,12/7/2021,6
category_1,59047,12/9/2021,4
category_1,1075651,11/6/2021,3
category_1,42496,12/9/2021,4
category_1,42424,1/6/2022,9
category_2,267478,11/18/2021,2
category_1,76399,1/24/2022,3
category_1,3427,12/7/2021,4
category_1,371104,11/18/2021,2
category_1,370195,12/7/2021,10
category_2,30877,10/30/2021,3
category_1,416212,11/17/2021,1
category_3,1090024,10/23/2021,5
category_3,1063600,1/5/2022,1
category_2,59749,1/5/2022,7
category_2,1064473,11/18/2021,7
category_2,20824,1/5/2022,14
category_1,1054978,10/23/2021,14
category_3,1097143,1/4/2022,6
category_2,1101769,10/30/2021,5
category_1,1067119,11/17/2021,2
category_2,23569,10/23/2021,1
category_2,132028,11/17/2021,19
category_1,37510,12/9/2021,3
category_4,23200,10/30/2021,24
category_1,1061341,11/6/2021,18
category_2,132028,1/6/2022,23
category_1,86992,10/30/2021,5
category_2,57058,11/18/2021,1
category_2,110320,1/4/2022,2
category_2,1064473,12/7/2021,2
category_3,1060630,11/12/2021,3
category_2,1067074,10/30/2021,9
category_2,110320,1/24/2022,9
category_2,906586,1/24/2022,2
category_4,245581,1/24/2022,71
category_1,1050046,1/4/2022,3
category_1,17296,10/30/2021,60
category_2,32245,2/8/2022,2
category_1,119554,1/24/2022,17
category_2,75886,2/8/2022,1
category_3,1101661,11/17/2021,22
category_2,1006108,2/9/2022,1
category_2,1064473,1/5/2022,7
category_2,1071115,11/12/2021,2
category_1,1047967,1/6/2022,11
category_1,17287,11/6/2021,7
category_3,88450,11/18/2021,11
category_2,1090249,1/4/2022,11
category_1,1032559,12/7/2021,1
category_2,132028,12/7/2021,21
category_1,839374,1/4/2022,8
category_2,1101571,10/30/2021,1
category_2,1105018,1/4/2022,2
category_1,36898,1/4/2022,2
category_2,211309,1/5/2022,3
category_2,1026871,11/17/2021,3
category_1,35530,12/9/2021,9
category_3,169504,1/24/2022,319
category_1,1054978,11/17/2021,4
category_3,1066570,10/30/2021,12
category_1,1058713,12/7/2021,6
category_2,1067074,12/9/2021,11
category_3,131983,2/9/2022,10
category_2,30877,12/7/2021,18
category_4,1003147,1/6/2022,12
category_1,119554,11/18/2021,20
category_1,86992,1/24/2022,14
category_2,1105018,1/24/2022,4
category_2,172582,2/9/2022,2
category_4,1024810,11/12/2021,12
category_2,138742,11/18/2021,4
category_2,1101562,1/5/2022,2
category_2,124954,1/24/2022,1
category_4,245581,12/7/2021,2
category_1,1032541,2/9/2022,4
category_2,1067092,12/7/2021,7
category_1,17296,11/18/2021,89
category_2,32245,1/24/2022,10
category_1,1032541,2/8/2022,6
category_3,893824,11/6/2021,4
category_1,48940,10/30/2021,5
category_1,48940,12/7/2021,2
category_2,1101571,11/12/2021,2
category_1,1032586,12/9/2021,3
category_1,1044682,12/9/2021,6
category_4,1082743,2/9/2022,9
category_1,17296,1/4/2022,52
category_2,211309,10/30/2021,1
category_2,30877,10/23/2021,1
category_4,731104,11/18/2021,2
category_1,145330,12/7/2021,1
category_3,1081087,10/23/2021,4
category_2,9925,2/8/2022,13
category_1,145978,10/23/2021,4
category_2,399220,2/8/2022,6
category_2,837943,2/9/2022,10
category_2,39436,11/18/2021,3
category_2,399220,1/6/2022,2
category_2,1067092,11/17/2021,21
category_1,1068883,1/5/2022,1
category_3,1081060,10/30/2021,15
category_2,86974,1/6/2022,3
category_4,1003156,1/4/2022,4
category_2,216151,10/23/2021,5
category_1,35530,1/4/2022,3
category_2,172033,11/18/2021,19
category_2,1067092,1/4/2022,19
category_2,124954,11/18/2021,9
category_2,1076920,11/17/2021,4
category_3,88450,12/7/2021,38
category_2,1101562,11/17/2021,2
category_1,1047967,11/12/2021,20
category_1,1085749,10/30/2021,4
category_4,123307,11/17/2021,41
category_1,119554,1/6/2022,16
category_3,1047130,10/23/2021,12
category_2,1064473,10/30/2021,13
category_1,1048975,11/17/2021,5
category_1,379249,12/9/2021,6
category_3,1060630,12/7/2021,4
category_1,86992,2/8/2022,27
category_2,837943,11/18/2021,9
category_2,118033,11/6/2021,3
category_3,1060630,11/6/2021,7
category_2,23569,1/24/2022,4
category_2,1070836,2/9/2022,4
category_1,1044682,11/17/2021,13
category_2,75886,10/30/2021,3
category_4,245581,11/12/2021,10
category_1,1084498,1/5/2022,3
category_1,1067128,2/9/2022,2
category_1,1047967,12/9/2021,3
category_1,17287,1/5/2022,6
category_2,32245,12/9/2021,15
category_3,1090024,1/4/2022,5
category_1,119554,1/4/2022,21
category_3,1047130,2/8/2022,7
category_3,88450,2/9/2022,52
category_1,1044691,12/9/2021,2
category_1,1050046,1/6/2022,42
category_4,836584,10/23/2021,11
category_1,1058713,11/6/2021,2
category_2,124954,2/8/2022,5
category_1,24136,2/9/2022,1
category_2,172033,1/6/2022,2
category_3,1097143,1/24/2022,4
category_1,1032568,10/30/2021,1
category_4,1003183,1/6/2022,1
category_2,1090276,11/18/2021,5
category_3,1081060,1/6/2022,17
category_2,837943,11/6/2021,8
category_2,1090258,2/8/2022,11
category_2,1101769,2/9/2022,5
category_1,1049776,12/7/2021,7
category_2,248272,12/9/2021,5
category_1,36898,11/12/2021,9
category_2,837943,10/30/2021,15
category_3,88450,1/24/2022,16
category_3,1081060,11/17/2021,31
category_1,755584,1/4/2022,2
category_2,1067092,12/9/2021,22
category_2,124954,1/6/2022,5
category_2,1044502,10/23/2021,4
category_1,1047967,2/8/2022,12
category_2,248272,1/4/2022,2
category_1,1032586,10/30/2021,7
category_3,1066570,2/9/2022,8
category_2,815101,1/6/2022,3
category_3,1081060,1/5/2022,5
category_1,145330,1/4/2022,2
category_1,3418,1/4/2022,26
category_1,42424,1/24/2022,2
category_2,1105027,11/17/2021,1
category_2,906595,11/17/2021,2
category_1,17296,1/24/2022,44
category_1,17296,2/8/2022,21
category_3,37861,1/5/2022,58
category_2,172582,11/17/2021,1
category_1,1032550,2/9/2022,2
category_1,17296,11/17/2021,93
category_2,903976,11/18/2021,5
category_2,1010068,2/9/2022,4
category_4,23200,12/9/2021,21
category_1,43657,10/23/2021,2
category_2,836125,2/9/2022,8
category_3,16936,1/4/2022,2
category_2,99079,12/7/2021,1
category_1,1056463,10/23/2021,12
category_2,1067074,11/12/2021,2
category_1,1061341,11/17/2021,3
category_1,35584,11/17/2021,1
category_3,88450,1/6/2022,7
category_2,23569,11/6/2021,2
category_3,1081069,10/30/2021,4
category_2,110320,11/12/2021,10
category_1,1067119,1/4/2022,5
category_2,1070818,1/24/2022,2
category_4,1003147,1/4/2022,12
category_1,1044619,12/9/2021,7
category_1,119554,1/5/2022,137
category_1,86992,12/7/2021,14
category_1,1081321,1/5/2022,2
category_3,1060630,2/9/2022,5
category_4,1082743,11/12/2021,4
category_2,906586,11/6/2021,2
category_1,17296,11/12/2021,78
category_3,131983,1/4/2022,10
category_3,1066570,11/17/2021,24
category_2,1098502,10/23/2021,1
category_1,36898,11/6/2021,8
category_3,1063600,11/18/2021,1
category_1,1030948,1/6/2022,1
category_2,1105009,10/23/2021,3
category_2,903976,1/4/2022,3
category_1,1032532,10/23/2021,22
category_1,1032532,2/9/2022,8
category_2,30877,1/5/2022,4
category_2,262384,11/6/2021,8
category_1,43657,1/24/2022,2
category_2,1070836,10/30/2021,5
category_2,1070836,11/18/2021,3
category_1,1032541,1/5/2022,7
category_2,173617,12/7/2021,4
category_1,1048975,1/5/2022,2
category_2,1105009,11/12/2021,2
category_2,865933,1/24/2022,2
category_3,7666,12/7/2021,40
category_4,872260,12/9/2021,3
category_3,893824,1/6/2022,19
category_2,838456,11/17/2021,6
category_1,142756,12/9/2021,2
category_1,1044691,1/24/2022,3
category_2,1010068,11/6/2021,3
category_1,43738,10/30/2021,1
category_2,1010068,11/17/2021,1
category_1,17287,11/17/2021,2
category_2,174436,2/8/2022,2
category_2,1090240,11/18/2021,2
category_3,1013335,2/8/2022,1
category_2,1064473,11/6/2021,2
category_2,1098493,2/9/2022,1
category_1,1047967,1/5/2022,20
category_1,3418,1/5/2022,2
category_3,1081087,1/24/2022,3
category_2,1010068,12/7/2021,12
category_1,86992,1/5/2022,3
category_1,119554,11/6/2021,7
category_2,1101571,1/24/2022,1
category_3,1047130,2/9/2022,7
category_1,1077118,1/4/2022,1
category_2,687616,11/12/2021,4
category_3,893824,10/23/2021,9
category_2,865933,12/9/2021,3
category_4,1003192,1/5/2022,4
category_1,839356,11/6/2021,1
category_2,1076938,10/30/2021,2
category_2,1067074,10/23/2021,4
category_1,371239,11/6/2021,4
category_2,174436,11/6/2021,9
category_2,87046,11/12/2021,3
category_2,20824,10/30/2021,15
category_2,174436,12/7/2021,8
category_1,142756,1/5/2022,3
category_3,88450,11/17/2021,19
category_1,17287,1/6/2022,9
category_3,88450,10/30/2021,8
category_2,1071115,12/7/2021,2
category_2,32245,1/5/2022,5
category_1,1061341,11/18/2021,4
category_1,370195,12/9/2021,15
category_2,1076938,11/6/2021,2
category_1,1032568,11/18/2021,3
category_1,145978,12/7/2021,11
category_2,40759,11/12/2021,6
category_2,173617,11/17/2021,2
category_3,1047130,12/7/2021,3
category_1,1032550,12/7/2021,1
category_1,36898,11/18/2021,3
category_1,42496,2/9/2022,7
category_4,836584,1/5/2022,38
category_1,1084498,1/4/2022,3
category_3,1060630,10/23/2021,5
category_1,1056463,1/24/2022,3
category_2,745945,10/30/2021,16
category_1,1032586,2/9/2022,1
category_2,50785,2/8/2022,1
category_2,836125,1/4/2022,4
category_1,1081321,12/9/2021,7
category_1,145978,1/24/2022,3
category_3,1081060,10/23/2021,5
category_2,216151,11/6/2021,1
category_1,142756,11/17/2021,14
category_1,38518,2/8/2022,2
category_2,836152,12/9/2021,5
category_1,1021264,11/6/2021,2
category_1,145978,1/5/2022,4
category_2,216151,2/9/2022,2
category_1,370195,1/6/2022,1
category_2,118033,11/17/2021,3
category_2,745945,2/9/2022,1
category_4,1003183,1/5/2022,2
category_2,1105018,1/6/2022,1
category_2,1090258,1/24/2022,1
category_2,210868,11/6/2021,1
category_1,17287,1/24/2022,6
category_2,75886,1/6/2022,2
category_1,3418,1/6/2022,20
category_3,37861,1/24/2022,16
category_2,59749,12/7/2021,4
category_1,1047967,2/9/2022,12
category_1,1032541,10/23/2021,22
category_1,1032550,12/9/2021,2
category_2,1070818,10/23/2021,3
category_3,1081078,2/9/2022,3
category_2,41830,1/6/2022,4
category_2,87046,1/4/2022,2
category_2,110320,10/23/2021,6
category_2,248272,1/5/2022,2
category_4,1003147,11/12/2021,4
category_1,1048975,1/4/2022,2
category_2,1098502,11/6/2021,1
category_1,1054978,1/5/2022,1
category_2,110320,1/5/2022,6
category_3,1063600,10/23/2021,2
category_1,1054978,11/6/2021,8
category_1,42424,10/30/2021,4
category_2,65788,12/9/2021,1
category_2,836125,1/24/2022,6
category_2,837943,12/9/2021,12
category_1,1054978,12/7/2021,4
category_4,1003183,2/9/2022,4
category_4,1074823,10/30/2021,38
category_3,1064572,10/30/2021,4
category_2,30877,1/24/2022,13
category_1,43657,12/7/2021,2
category_1,3418,12/9/2021,16
category_1,839374,11/17/2021,5
category_1,1044691,2/8/2022,2
category_2,399220,11/6/2021,5
category_1,1085749,1/5/2022,2
category_2,1098493,2/8/2022,1
category_1,1056463,1/4/2022,8
category_3,7666,12/9/2021,12
category_2,57058,1/24/2022,3
category_1,124774,12/9/2021,12
category_2,399220,1/4/2022,4
category_1,755584,1/24/2022,27
category_1,35449,2/9/2022,8
category_2,87559,2/8/2022,3
category_2,399220,11/17/2021,3
category_2,1067074,2/9/2022,4
category_3,1066570,1/4/2022,4
category_2,1006090,11/17/2021,7
category_2,1070818,11/17/2021,2
category_3,1047130,11/12/2021,7
category_2,1090249,1/6/2022,9
category_2,39436,11/6/2021,1
category_2,110320,1/6/2022,4
category_2,124954,12/9/2021,2
category_2,30877,11/12/2021,9
category_1,1068883,12/9/2021,4
category_2,23569,2/8/2022,2
category_1,1081339,10/30/2021,15
category_3,88450,11/6/2021,4
category_2,1101553,11/17/2021,1
category_1,1081321,10/30/2021,1
category_4,872260,11/17/2021,2
category_1,38518,10/23/2021,4
category_1,17296,10/23/2021,37
category_3,1081078,11/18/2021,6
category_3,131983,2/8/2022,7
category_2,64978,11/17/2021,1
category_1,142756,12/7/2021,4
category_3,1060630,1/6/2022,4
category_2,248272,11/17/2021,5
category_2,117610,11/18/2021,4
category_1,124774,12/7/2021,2
category_2,20824,11/18/2021,13
category_1,1058713,12/9/2021,8
category_2,815101,2/9/2022,2
category_3,1066570,12/7/2021,4
category_2,39436,12/7/2021,1
category_1,1032586,11/6/2021,3
category_2,138742,2/9/2022,1
category_3,131983,1/6/2022,8
category_1,1032541,12/9/2021,10
category_1,1032568,11/6/2021,2
category_1,1032532,1/4/2022,50
category_3,88450,12/9/2021,13
category_1,145978,1/4/2022,3
category_2,745945,1/24/2022,2
category_2,836152,11/6/2021,2
category_1,1058713,1/6/2022,7
category_1,1030948,11/12/2021,5
category_3,132334,12/7/2021,8
category_1,145330,12/9/2021,5
category_2,838456,2/9/2022,2
category_1,416212,11/6/2021,2
category_2,23569,11/18/2021,8
category_1,42424,12/9/2021,7
category_1,24136,11/12/2021,8
category_1,755584,12/9/2021,3
category_2,1064473,1/6/2022,8
category_2,210868,2/8/2022,1
category_2,248272,11/12/2021,4
category_2,1098502,2/9/2022,2
category_1,48940,1/4/2022,3
category_1,1044691,11/18/2021,2
category_1,1061341,12/9/2021,8
category_1,1044691,11/12/2021,3
category_1,37510,10/23/2021,2
category_3,131983,10/23/2021,2
category_3,397213,11/17/2021,5
category_1,3427,2/8/2022,2
category_1,1058713,11/12/2021,8
category_3,1081069,11/6/2021,2
category_2,132028,2/8/2022,19
category_1,379249,1/5/2022,3
category_1,43738,12/9/2021,1
category_1,38518,11/18/2021,1
category_1,36898,12/7/2021,12
category_2,216151,1/24/2022,1
category_2,1070836,1/5/2022,3
category_3,1064572,1/6/2022,1
category_2,1071106,10/30/2021,6
category_1,1030948,10/30/2021,2
category_2,50785,10/30/2021,4
category_2,1071106,12/7/2021,4
category_1,1032586,1/4/2022,2
category_2,118033,2/8/2022,2
category_2,174436,2/9/2022,4
category_1,3418,12/7/2021,11
category_3,1013335,1/24/2022,3
category_1,370195,10/30/2021,18
category_1,1047967,10/23/2021,19
category_1,1015621,1/5/2022,3
category_1,35530,1/5/2022,1
category_4,245581,10/30/2021,21
category_1,1081321,11/12/2021,2
category_2,99079,1/5/2022,3
category_1,124774,10/23/2021,3
category_2,1070818,10/30/2021,3
category_4,123307,12/9/2021,39
category_3,1047130,11/18/2021,5
category_2,877624,11/17/2021,1
category_1,1058713,10/30/2021,7
category_2,858886,11/18/2021,2
category_1,1032586,1/5/2022,1
category_4,1003192,11/6/2021,1
category_2,9925,11/18/2021,4
category_2,132028,11/18/2021,10
category_2,111436,1/24/2022,3
category_2,1070836,1/24/2022,3
category_4,731104,1/5/2022,2
category_2,913561,11/17/2021,2
category_1,1056463,11/17/2021,5
category_4,23200,12/7/2021,26
category_1,35449,10/30/2021,2
category_1,119554,10/23/2021,20
category_2,9925,2/9/2022,1
category_4,123307,12/7/2021,36
category_4,753613,2/9/2022,68
category_3,1081069,10/23/2021,5
category_2,1076920,1/5/2022,3
category_2,858886,10/30/2021,4
category_1,1048975,12/7/2021,3
category_1,1044682,1/4/2022,4
category_4,1060909,1/24/2022,18
category_1,43738,2/8/2022,11
category_1,1032550,11/12/2021,7
category_1,37510,12/7/2021,1
category_2,1006090,1/6/2022,2
category_3,169504,12/7/2021,61
category_2,1105018,2/8/2022,1
category_2,1101571,11/17/2021,1
category_2,65788,11/12/2021,2
category_2,1103056,11/12/2021,3
category_2,687616,12/9/2021,1
category_2,174436,11/17/2021,7
category_1,370195,11/17/2021,4
category_2,43630,11/12/2021,4
category_2,1090258,1/4/2022,1
category_1,1032541,10/30/2021,10
category_4,1024810,11/17/2021,4
category_1,1044619,11/6/2021,6
category_2,1090249,11/12/2021,7
category_2,903976,11/17/2021,5
category_1,1047967,11/17/2021,43
category_2,173617,1/6/2022,3
category_2,1071106,1/5/2022,4
category_3,1060630,1/24/2022,2
category_4,1003147,12/9/2021,11
category_4,872260,11/6/2021,1
category_2,59749,1/4/2022,11
category_2,262384,2/9/2022,1
category_2,906595,1/5/2022,2
category_1,38518,11/6/2021,2
category_1,1044682,2/8/2022,3
category_1,1044619,11/17/2021,9
category_2,174436,1/6/2022,4
category_3,1081069,1/6/2022,5
category_3,1013335,1/6/2022,3
category_2,815101,2/8/2022,2
category_1,35584,12/9/2021,4
category_2,906586,11/18/2021,1
category_2,267496,11/17/2021,1
category_4,1024810,11/18/2021,7
category_2,903976,12/7/2021,4
category_2,118033,11/18/2021,4
category_2,1070836,11/12/2021,4
category_1,1047967,11/6/2021,10
category_2,1090249,12/7/2021,3
category_2,43630,1/24/2022,14
category_4,1003156,11/6/2021,7
category_4,753613,1/4/2022,11
category_2,262384,12/9/2021,5
category_1,1056463,2/8/2022,6
category_3,1047130,11/6/2021,9
category_2,1071106,11/12/2021,6
category_1,142756,11/12/2021,5
category_1,1049776,12/9/2021,2
category_1,1032532,12/7/2021,25
category_1,839374,1/6/2022,9
category_2,20824,10/23/2021,11
category_1,36898,1/6/2022,16
category_1,1032568,2/9/2022,2
category_2,111382,10/30/2021,2
category_2,1006009,12/7/2021,1
category_2,20824,12/7/2021,13
category_2,1010068,2/8/2022,2
category_3,16936,1/24/2022,5
category_1,755584,1/5/2022,13
category_4,1003147,1/5/2022,8
category_2,1105009,11/6/2021,3
category_4,836584,1/4/2022,35
category_1,145330,1/6/2022,4
category_2,903976,11/12/2021,3
category_2,124954,10/30/2021,6
category_3,1101661,1/6/2022,10
category_1,1044619,11/18/2021,2
category_2,40759,1/24/2022,3
category_2,40759,2/8/2022,2
category_2,999403,1/24/2022,3
category_1,1061638,12/9/2021,7
category_4,1003156,1/6/2022,13
category_1,1048975,2/9/2022,5
category_2,41830,11/17/2021,2
category_1,839356,2/8/2022,10
category_3,131983,11/6/2021,4
category_2,1006009,11/17/2021,2
category_1,42424,1/4/2022,6
category_2,132028,1/24/2022,35
category_3,1013335,10/30/2021,1
category_2,124954,2/9/2022,4
category_2,172033,10/30/2021,15
category_4,1003147,2/8/2022,18
category_2,50785,12/9/2021,2
category_2,836152,10/30/2021,4
category_4,1024810,10/30/2021,1
category_2,837943,11/12/2021,13
category_1,119554,2/8/2022,13
category_3,131983,10/30/2021,2
category_4,731104,11/6/2021,1
category_2,117610,2/8/2022,3
category_3,1013335,11/17/2021,3
category_1,24136,12/7/2021,4
category_2,1010068,1/6/2022,2
category_1,119554,12/7/2021,12
category_1,1015621,12/7/2021,8
category_2,1101562,11/12/2021,3
category_1,416212,2/9/2022,2
category_1,371104,1/4/2022,1
category_1,48940,1/6/2022,2
category_1,124774,1/5/2022,2
category_2,399220,1/5/2022,1
category_1,1047967,1/24/2022,22
category_1,1032586,10/23/2021,4
category_2,20824,11/17/2021,16
category_1,1056463,11/18/2021,5
category_3,1066570,11/18/2021,4
category_2,745945,1/5/2022,1
category_2,59749,10/23/2021,4
category_1,416212,12/7/2021,4
category_2,99079,2/8/2022,2
category_2,1090240,1/4/2022,28
category_1,1032568,2/8/2022,1
category_2,59749,11/6/2021,8
category_1,1032532,11/12/2021,13
category_2,172033,11/12/2021,8
category_1,371104,11/17/2021,2
category_3,7666,10/23/2021,27
category_2,267496,11/12/2021,3
category_2,836152,1/5/2022,3
category_2,40759,1/4/2022,8
category_1,1056463,1/6/2022,6
category_2,172033,11/17/2021,26
category_2,32245,11/17/2021,4
category_2,211309,2/8/2022,1
category_2,118033,11/12/2021,3
category_1,1032568,11/12/2021,2
category_1,1067119,11/18/2021,6
category_4,1003156,11/18/2021,2
category_1,1075651,2/9/2022,5
category_2,32245,10/30/2021,6
category_2,1006009,11/12/2021,1
category_1,17287,2/8/2022,7
category_2,815101,12/7/2021,1
category_2,836152,11/12/2021,4
category_2,118033,1/6/2022,2
category_2,110320,10/30/2021,10
category_2,64978,11/6/2021,1
category_2,836125,11/18/2021,7
category_1,1061638,11/6/2021,8
category_2,132028,2/9/2022,29
category_1,43657,11/18/2021,1
category_1,145978,11/6/2021,2
category_3,1081069,11/18/2021,3
category_2,174436,1/5/2022,1
category_1,1090114,12/9/2021,1
category_2,836125,1/5/2022,4
category_2,837943,11/17/2021,7
category_3,169504,11/12/2021,104
category_4,1003183,1/24/2022,12
category_1,76399,10/23/2021,8
category_1,1032568,10/23/2021,2
category_1,43657,1/6/2022,1
category_2,40759,2/9/2022,7
category_3,1066570,1/5/2022,2
category_2,1006090,12/9/2021,3
category_3,1013335,10/23/2021,4
category_1,1048975,12/9/2021,2
category_2,40759,11/6/2021,2
category_2,1090258,10/30/2021,27
category_2,1071106,1/6/2022,2
category_1,1032541,1/6/2022,10
category_2,1090249,1/5/2022,7
category_2,50785,11/12/2021,1
category_2,1006090,1/24/2022,2
category_1,755584,10/30/2021,12
category_4,23200,11/18/2021,3
category_2,1101553,1/5/2022,2
category_1,370195,2/9/2022,2
category_4,23200,11/17/2021,1
category_1,1044682,10/23/2021,2
category_2,999403,10/30/2021,1
category_3,132334,10/23/2021,1
category_2,174436,12/9/2021,10
category_1,371104,1/6/2022,1
category_2,1101553,1/4/2022,4
category_4,1074823,1/4/2022,3
category_4,753613,1/6/2022,14
category_1,1058713,1/5/2022,4
category_4,1082743,2/8/2022,35
category_1,119554,10/30/2021,13
category_2,43630,11/17/2021,5
category_1,3427,10/23/2021,6
category_1,24136,1/6/2022,3
category_2,745945,12/9/2021,1
category_2,858886,12/9/2021,2
category_2,1067074,11/17/2021,13
category_2,1064473,10/23/2021,7
category_3,1090024,2/9/2022,6
category_2,172033,2/8/2022,2
category_2,838456,11/18/2021,3
category_2,1071124,1/24/2022,3
category_2,99079,1/6/2022,5
category_3,1066570,1/6/2022,19
category_4,1060909,1/6/2022,11
category_2,40759,10/30/2021,16
category_3,1060630,11/17/2021,4
category_2,1071124,11/17/2021,9
category_2,20824,11/12/2021,24
category_2,906586,12/7/2021,3
category_1,3418,10/23/2021,6
category_2,1067092,2/9/2022,10
category_2,836152,12/7/2021,8
category_2,99079,11/12/2021,4
category_1,42496,11/17/2021,4
category_3,1081069,1/24/2022,6
category_2,138742,1/24/2022,2
category_4,836584,10/30/2021,21
category_2,59749,2/9/2022,2
category_2,87046,11/6/2021,2
category_2,172033,12/9/2021,8
category_2,1090276,2/9/2022,2
category_1,1084498,12/7/2021,6
category_1,1050046,11/17/2021,9
category_4,1074823,12/9/2021,24
category_1,36898,2/9/2022,11
category_2,1090240,12/7/2021,3
category_4,753613,2/8/2022,19
category_1,76399,1/4/2022,3
category_4,836584,11/6/2021,17
category_2,173617,1/4/2022,6
category_3,1064572,11/12/2021,3
category_2,1044502,12/7/2021,5
category_1,1032532,1/5/2022,8
category_1,1032532,12/9/2021,8
category_1,48940,1/24/2022,10
category_1,43657,2/9/2022,4
category_1,1081321,11/6/2021,1
category_2,815101,11/12/2021,3
category_2,124954,10/23/2021,1
category_4,23200,11/12/2021,4
category_1,35584,1/5/2022,2
category_3,169504,11/18/2021,102
category_3,131983,1/24/2022,9
category_3,1101661,2/9/2022,4
category_2,210868,1/5/2022,1
category_2,1090249,11/18/2021,4
category_1,17296,1/6/2022,88
