CategoryCode,ItemCode,Week,WeeklySales
category_2,1071115,2021_44,10
category_2,87559,2021_44,13
category_1,1044610,2021_44,8
category_2,267496,2021_44,7
category_1,3418,2021_44,46
category_4,1060909,2021_44,33
category_1,755584,2021_44,27
category_2,267478,2021_44,12
category_2,1070836,2021_44,27
category_1,1084498,2021_44,18
category_1,1032532,2021_44,138
category_4,1024810,2021_44,66
category_1,1050046,2021_44,17
category_1,1032550,2021_44,11
category_1,1030948,2021_44,4
category_1,1081339,2021_44,9
category_3,1097143,2021_44,40
category_1,1044691,2021_44,13
category_1,142756,2021_44,35
category_2,41830,2021_44,8
category_2,1090249,2021_44,13
category_3,397213,2021_44,49
category_1,839374,2021_44,38
category_2,1090276,2021_44,7
category_1,24136,2021_44,33
category_2,172582,2021_44,16
category_3,132334,2021_44,12
category_1,1015621,2021_44,1
category_1,371104,2021_44,4
category_2,999403,2021_44,14
category_4,1082743,2021_44,2
category_1,59047,2021_44,15
category_1,37510,2021_44,11
category_1,3427,2021_44,28
category_2,1071124,2021_44,30
category_4,753613,2021_44,40
category_2,130993,2021_44,43
category_2,865933,2021_44,29
category_2,1105027,2021_44,11
category_2,211309,2021_44,10
category_1,1090114,2021_44,9
category_2,138742,2021_44,24
category_2,65788,2021_44,4
category_1,42496,2021_44,22
category_2,1101769,2021_44,20
category_1,76399,2021_44,18
category_2,1101553,2021_44,5
category_2,213802,2021_44,6
category_2,838456,2021_44,11
category_1,1090303,2021_44,5
category_2,1101562,2021_44,4
category_2,225259,2021_44,5
category_2,1006009,2021_44,5
category_2,1076929,2021_44,5
category_3,1081087,2021_44,35
category_1,1067128,2021_44,3
category_1,35584,2021_44,2
category_2,1006099,2021_44,4
category_2,1105018,2021_44,6
category_2,57058,2021_44,5
category_3,1013335,2021_44,6
category_1,145330,2021_44,3
category_1,35530,2021_44,3
category_1,1068883,2021_44,5
category_2,9925,2021_44,11
category_3,7666,2021_44,15
category_4,836584,2021_46,123
category_1,371239,2021_46,13
category_2,1103056,2021_46,17
category_2,836125,2021_46,59
category_3,131983,2021_46,55
category_1,76399,2021_46,29
category_2,110320,2021_46,40
category_2,1044502,2021_46,11
category_1,59047,2021_46,9
category_1,42424,2021_46,23
category_3,16936,2021_46,34
category_1,1048975,2021_46,25
category_1,1047967,2021_46,174
category_2,1071106,2021_46,20
category_3,169504,2021_46,720
category_2,87559,2021_46,24
category_2,59749,2021_46,28
category_2,267478,2021_46,5
category_1,371104,2021_46,11
category_1,416212,2021_46,10
category_2,1064473,2021_46,48
category_1,1067119,2021_46,14
category_2,132028,2021_46,108
category_2,57058,2021_46,4
category_3,1101661,2021_46,45
category_3,88450,2021_46,93
category_2,1026871,2021_46,10
category_1,1054978,2021_46,41
category_1,119554,2021_46,139
category_2,138742,2021_46,25
category_1,17296,2021_46,540
category_4,731104,2021_46,29
category_2,39436,2021_46,10
category_2,1067092,2021_46,90
category_2,172033,2021_46,99
category_2,124954,2021_46,49
category_2,1076920,2021_46,13
category_2,1101562,2021_46,9
category_4,123307,2021_46,332
category_2,837943,2021_46,107
category_1,1044682,2021_46,64
category_2,1090276,2021_46,16
category_3,1081060,2021_46,81
category_2,1105027,2021_46,7
category_2,906595,2021_46,10
category_2,172582,2021_46,13
category_2,903976,2021_46,28
category_1,1061341,2021_46,29
category_1,35584,2021_46,5
category_3,1066570,2021_46,116
category_3,1063600,2021_46,8
category_2,1070836,2021_46,15
category_2,838456,2021_46,18
category_2,1010068,2021_46,11
category_1,17287,2021_46,20
category_2,1090240,2021_46,29
category_1,1032568,2021_46,10
category_2,173617,2021_46,6
category_1,36898,2021_46,70
category_1,142756,2021_46,28
category_2,118033,2021_46,16
category_1,839374,2021_46,14
category_2,399220,2021_46,13
category_2,1006090,2021_46,19
category_2,1070818,2021_46,16
category_2,1101553,2021_46,5
category_4,872260,2021_46,7
category_3,1081078,2021_46,22
category_2,64978,2021_46,3
category_2,248272,2021_46,29
category_2,117610,2021_46,21
category_2,20824,2021_46,140
category_2,23569,2021_46,35
category_1,1044691,2021_46,22
category_3,397213,2021_46,9
category_1,38518,2021_46,12
category_3,1047130,2021_46,50
category_2,877624,2021_46,21
category_2,858886,2021_46,8
category_2,9925,2021_46,13
category_2,913561,2021_46,10
category_1,1056463,2021_46,29
category_2,1101571,2021_46,8
category_2,174436,2021_46,47
category_1,370195,2021_46,20
category_4,1024810,2021_46,50
category_1,1044619,2021_46,31
category_2,906586,2021_46,7
category_2,267496,2021_46,2
category_2,41830,2021_46,24
category_2,1006009,2021_46,6
category_3,1013335,2021_46,9
category_2,32245,2021_46,40
category_4,1003156,2021_46,34
category_1,43657,2021_46,8
category_3,1081069,2021_46,18
category_4,23200,2021_46,30
category_2,43630,2021_46,25
category_2,1067074,2021_46,81
category_3,1060630,2021_46,34
category_2,1071124,2021_46,15
category_1,42496,2021_46,24
category_1,1050046,2021_46,37
category_2,1090249,2021_46,50
category_4,1003147,2021_46,79
category_2,745945,2021_46,25
category_1,124774,2021_46,25
category_4,1074823,2021_46,365
category_2,99079,2021_46,19
category_2,213802,2021_46,3
category_2,40759,2021_46,34
category_2,1098493,2021_46,6
category_2,1105018,2021_46,4
category_4,1003192,2021_46,24
category_1,1044610,2021_46,6
category_2,1071115,2021_46,14
category_1,3427,2021_46,52
category_2,1101769,2021_46,17
category_2,1105009,2021_46,17
category_1,755584,2021_46,73
category_2,1076938,2021_46,7
category_1,1032541,2021_46,52
category_2,1006108,2021_46,9
category_1,145978,2021_46,30
category_1,1015621,2021_46,3
category_3,37861,2021_46,83
category_1,1084498,2021_46,31
category_2,30877,2021_46,50
category_2,1092184,2021_46,10
category_3,132334,2021_46,19
category_4,245581,2021_46,54
category_3,1081087,2021_46,31
category_3,893824,2021_46,38
category_2,262384,2021_46,15
category_2,815101,2021_46,21
category_1,3418,2021_46,49
category_2,225259,2021_46,10
category_3,1090024,2021_46,20
category_1,1021264,2021_46,14
category_2,1076929,2021_46,5
category_4,1003183,2021_46,6
category_4,753613,2021_46,10
category_1,86992,2021_46,61
category_2,130993,2021_46,41
category_2,50785,2021_46,21
category_1,839356,2021_46,38
category_1,1032532,2021_46,73
category_1,1049776,2021_46,17
category_1,1067128,2021_46,5
category_1,1032559,2021_46,9
category_3,1064572,2021_46,15
category_2,999403,2021_46,8
category_2,211309,2021_46,25
category_2,687616,2021_46,10
category_4,1060909,2021_46,66
category_1,1075651,2021_46,5
category_1,1032586,2021_46,12
category_1,1058713,2021_46,40
category_1,1068883,2021_46,4
category_1,24136,2021_46,7
category_2,865933,2021_46,5
category_2,216151,2021_46,19
category_2,1098502,2021_46,3
category_1,43738,2021_46,12
category_2,111382,2021_46,10
category_2,836152,2021_46,18
category_2,210868,2021_46,5
category_1,379249,2021_46,43
category_1,145330,2021_46,10
category_1,48940,2021_46,18
category_1,1081339,2021_46,14
category_1,1085749,2021_46,9
category_1,1032550,2021_46,3
category_2,65788,2021_46,8
category_3,7666,2021_46,30
category_1,35449,2021_46,5
category_1,1081321,2021_46,9
category_2,111436,2021_46,4
category_1,1061638,2021_46,21
category_1,1090105,2021_46,2
category_1,1090294,2021_46,14
category_4,1082743,2021_46,12
category_2,86974,2021_46,14
category_2,87046,2021_46,7
category_1,1090114,2021_46,1
category_1,1030948,2021_46,1
category_3,1097143,2021_46,23
category_2,1006099,2021_46,2
category_1,35530,2021_46,3
category_2,75886,2021_46,3
category_2,1090258,2021_46,4
category_1,37510,2021_46,3
category_1,370195,2022_4,37
category_1,1061341,2022_4,17
category_1,379249,2022_4,126
category_2,1076938,2022_4,56
category_2,262384,2022_4,13
category_1,36898,2022_4,53
category_1,24136,2022_4,33
category_2,1067074,2022_4,48
category_2,837943,2022_4,88
category_2,210868,2022_4,11
category_2,1090276,2022_4,11
category_1,1032532,2022_4,108
category_2,172033,2022_4,11
category_1,142756,2022_4,48
category_1,76399,2022_4,55
category_2,110320,2022_4,46
category_2,906586,2022_4,14
category_4,245581,2022_4,188
category_1,119554,2022_4,150
category_3,169504,2022_4,689
category_1,86992,2022_4,79
category_2,1105018,2022_4,13
category_2,124954,2022_4,30
category_2,32245,2022_4,51
category_2,23569,2022_4,24
category_3,1097143,2022_4,63
category_3,88450,2022_4,85
category_1,42424,2022_4,41
category_1,17296,2022_4,301
category_2,1070818,2022_4,6
category_1,43657,2022_4,11
category_2,865933,2022_4,13
category_1,1044691,2022_4,12
category_3,1081087,2022_4,28
category_2,1101571,2022_4,8
category_1,1056463,2022_4,72
category_1,145978,2022_4,51
category_2,1090258,2022_4,18
category_1,17287,2022_4,82
category_3,37861,2022_4,165
category_2,836125,2022_4,74
category_2,30877,2022_4,107
category_2,57058,2022_4,12
category_1,755584,2022_4,62
category_2,745945,2022_4,10
category_2,216151,2022_4,20
category_3,1013335,2022_4,14
category_2,111436,2022_4,7
category_2,1070836,2022_4,26
category_4,1060909,2022_4,67
category_3,1060630,2022_4,24
category_2,43630,2022_4,52
category_3,16936,2022_4,66
category_2,40759,2022_4,58
category_2,999403,2022_4,38
category_2,132028,2022_4,227
category_1,1047967,2022_4,102
category_4,1003183,2022_4,50
category_2,1006090,2022_4,29
category_2,1071124,2022_4,11
category_3,1081069,2022_4,24
category_2,138742,2022_4,22
category_1,48940,2022_4,28
category_3,131983,2022_4,39
category_2,1071106,2022_4,26
category_1,1044619,2022_4,36
category_2,1105009,2022_4,5
category_1,1044682,2022_4,54
category_3,132334,2022_4,16
category_2,173617,2022_4,22
category_2,1067092,2022_4,90
category_1,1049776,2022_4,32
category_2,838456,2022_4,13
category_2,1064473,2022_4,64
category_3,1064572,2022_4,4
category_1,1090294,2022_4,9
category_2,87559,2022_4,31
category_2,1026871,2022_4,14
category_2,20824,2022_4,122
category_1,1068883,2022_4,10
category_1,43738,2022_4,17
category_1,1067128,2022_4,9
category_1,3418,2022_4,67
category_2,687616,2022_4,13
category_1,3427,2022_4,29
category_2,1098502,2022_4,9
category_2,39436,2022_4,21
category_4,123307,2022_4,356
category_2,877624,2022_4,30
category_1,1058713,2022_4,37
category_1,1015621,2022_4,10
category_1,1048975,2022_4,40
category_1,42496,2022_4,39
category_3,893824,2022_4,63
category_1,1075651,2022_4,7
category_4,753613,2022_4,104
category_1,1054978,2022_4,54
category_2,248272,2022_4,28
category_2,1103056,2022_4,13
category_2,59749,2022_4,44
category_1,1021264,2022_4,11
category_2,172582,2022_4,21
category_2,50785,2022_4,33
category_3,1047130,2022_4,71
category_2,1098493,2022_4,13
category_1,371239,2022_4,14
category_1,1050046,2022_4,13
category_2,1006009,2022_4,8
category_2,225259,2022_4,5
category_1,839356,2022_4,94
category_1,1032541,2022_4,144
category_2,99079,2022_4,16
category_1,1067119,2022_4,21
category_2,1076929,2022_4,10
category_3,1090024,2022_4,33
category_2,815101,2022_4,31
category_2,111382,2022_4,11
category_2,1092184,2022_4,21
category_2,41830,2022_4,15
category_1,145330,2022_4,16
category_2,174436,2022_4,62
category_1,38518,2022_4,18
category_1,1032568,2022_4,8
category_1,1084498,2022_4,23
category_1,416212,2022_4,12
category_1,371104,2022_4,7
category_1,1032559,2022_4,16
category_2,1010068,2022_4,7
category_3,7666,2022_4,38
category_2,118033,2022_4,21
category_2,906595,2022_4,13
category_2,9925,2022_4,10
category_2,903976,2022_4,19
category_3,1101661,2022_4,39
category_2,211309,2022_4,21
category_1,1044610,2022_4,5
category_1,59047,2022_4,16
category_2,1105027,2022_4,8
category_1,1032550,2022_4,8
category_1,35449,2022_4,16
category_2,65788,2022_4,17
category_2,1044502,2022_4,8
category_2,1090240,2022_4,7
category_2,1076920,2022_4,7
category_1,839374,2022_4,35
category_4,1003156,2022_4,166
category_4,872260,2022_4,11
category_2,1101769,2022_4,32
category_4,1082743,2022_4,60
category_4,836584,2022_4,118
category_1,35530,2022_4,16
category_4,1003192,2022_4,48
category_1,37510,2022_4,6
category_1,35584,2022_4,5
category_1,1030948,2022_4,10
category_4,1024810,2022_4,121
category_1,1077118,2022_4,34
category_2,399220,2022_4,16
category_2,1006108,2022_4,12
category_1,1032586,2022_4,21
category_2,213802,2022_4,9
category_1,1085749,2022_4,11
category_2,836152,2022_4,10
category_2,130993,2022_4,12
category_4,1074823,2022_4,9
category_3,1063600,2022_4,13
category_1,1090114,2022_4,6
category_2,75886,2022_4,6
category_4,1003147,2022_4,122
category_2,1071115,2022_4,10
category_2,267496,2022_4,11
category_2,267478,2022_4,6
category_2,913561,2022_4,3
category_1,1090303,2022_4,9
category_1,1090105,2022_4,2
category_3,397213,2022_4,27
category_3,1081060,2022_4,46
category_2,1006099,2022_4,11
category_3,1081078,2022_4,5
category_2,117610,2022_4,7
category_2,1101562,2022_4,2
category_2,858886,2022_4,6
category_1,124774,2022_4,2
category_2,64978,2022_4,3
category_3,1066570,2022_4,12
category_2,1101553,2022_4,1
category_2,172582,2021_43,26
category_2,1006009,2021_43,13
category_1,145978,2021_43,31
category_1,1032550,2021_43,8
category_1,1050046,2021_43,22
category_3,1090024,2021_43,17
category_3,1101661,2021_43,41
category_2,1044502,2021_43,22
category_2,838456,2021_43,16
category_2,1090240,2021_43,24
category_1,379249,2021_43,35
category_1,1054978,2021_43,38
category_1,42496,2021_43,45
category_2,30877,2021_43,64
category_2,1101769,2021_43,18
category_4,23200,2021_43,64
category_1,86992,2021_43,45
category_2,1067074,2021_43,29
category_1,17296,2021_43,485
category_2,1101571,2021_43,6
category_3,1066570,2021_43,135
category_1,48940,2021_43,12
category_2,211309,2021_43,10
category_3,1081060,2021_43,32
category_1,1085749,2021_43,9
category_2,1064473,2021_43,58
category_2,75886,2021_43,10
category_1,1032568,2021_43,11
category_2,837943,2021_43,102
category_1,1032586,2021_43,11
category_3,1081069,2021_43,8
category_2,1070836,2021_43,26
category_1,43738,2021_43,13
category_2,1076938,2021_43,9
category_2,20824,2021_43,103
category_3,88450,2021_43,137
category_2,745945,2021_43,45
category_1,42424,2021_43,22
category_4,1074823,2021_43,303
category_3,1064572,2021_43,14
category_1,1081339,2021_43,23
category_1,1081321,2021_43,7
category_2,1071106,2021_43,44
category_1,1030948,2021_43,12
category_2,50785,2021_43,22
category_1,370195,2021_43,41
category_4,245581,2021_43,111
category_2,1070818,2021_43,12
category_1,1058713,2021_43,40
category_1,35449,2021_43,6
category_2,858886,2021_43,14
category_1,1032541,2021_43,56
category_2,111382,2021_43,18
category_2,124954,2021_43,31
category_3,1013335,2021_43,15
category_2,172033,2021_43,47
category_2,836152,2021_43,18
category_4,1024810,2021_43,38
category_3,131983,2021_43,20
category_2,32245,2021_43,28
category_2,110320,2021_43,48
category_2,1090258,2021_43,79
category_1,755584,2021_43,78
category_2,999403,2021_43,11
category_1,119554,2021_43,109
category_2,40759,2021_43,62
category_4,836584,2021_43,124
category_2,225259,2021_43,11
category_2,836125,2021_43,29
category_1,1032532,2021_43,73
category_2,1105009,2021_43,5
category_1,36898,2021_43,82
category_1,371239,2021_43,19
category_4,872260,2021_43,15
category_2,41830,2021_43,20
category_2,138742,2021_43,30
category_2,43630,2021_43,33
category_3,1047130,2021_43,76
category_4,1003156,2021_43,63
category_3,37861,2021_43,125
category_1,1032559,2021_43,3
category_1,1044682,2021_43,42
category_2,399220,2021_43,26
category_2,59749,2021_43,44
category_2,815101,2021_43,31
category_3,1081078,2021_43,17
category_1,1044619,2021_43,25
category_1,839374,2021_43,78
category_4,123307,2021_43,552
category_1,1061638,2021_43,65
category_2,877624,2021_43,33
category_3,169504,2021_43,685
category_2,87559,2021_43,21
category_2,1092184,2021_43,25
category_2,1026871,2021_43,20
category_2,64978,2021_43,6
category_2,865933,2021_43,61
category_2,1103056,2021_43,28
category_2,1006108,2021_43,6
category_1,1044610,2021_43,13
category_1,1047967,2021_43,82
category_2,130993,2021_43,7
category_1,1067119,2021_43,22
category_2,174436,2021_43,85
category_2,1067092,2021_43,141
category_1,145330,2021_43,9
category_2,132028,2021_43,154
category_1,3418,2021_43,44
category_3,893824,2021_43,101
category_2,213802,2021_43,8
category_2,39436,2021_43,22
category_4,1082743,2021_43,4
category_1,1049776,2021_43,16
category_3,1063600,2021_43,14
category_2,1076929,2021_43,3
category_2,1076920,2021_43,10
category_1,416212,2021_43,8
category_4,1003147,2021_43,47
category_2,1006099,2021_43,5
category_1,1090303,2021_43,6
category_2,216151,2021_43,12
category_2,1090276,2021_43,18
category_1,17287,2021_43,21
category_2,903976,2021_43,28
category_2,913561,2021_43,12
category_2,210868,2021_43,6
category_2,117610,2021_43,27
category_3,397213,2021_43,9
category_1,38518,2021_43,9
category_2,9925,2021_43,5
category_2,99079,2021_43,23
category_2,1006090,2021_43,14
category_1,124774,2021_43,19
category_1,1068883,2021_43,1
category_2,1090249,2021_43,11
category_1,24136,2021_43,36
category_1,1056463,2021_43,37
category_2,1101562,2021_43,19
category_2,173617,2021_43,26
category_1,1048975,2021_43,12
category_1,1075651,2021_43,4
category_1,839356,2021_43,89
category_2,65788,2021_43,32
category_1,3427,2021_43,54
category_1,35584,2021_43,8
category_4,1060909,2021_43,56
category_2,906586,2021_43,10
category_4,1003192,2021_43,8
category_2,57058,2021_43,2
category_3,1081087,2021_43,19
category_1,1021264,2021_43,6
category_3,16936,2021_43,21
category_4,731104,2021_43,12
category_1,59047,2021_43,17
category_3,7666,2021_43,94
category_1,37510,2021_43,10
category_1,142756,2021_43,33
category_2,1010068,2021_43,19
category_2,1101553,2021_43,3
category_3,1060630,2021_43,39
category_2,1098502,2021_43,9
category_1,1061341,2021_43,25
category_1,76399,2021_43,23
category_1,1044691,2021_43,20
category_2,23569,2021_43,10
category_4,753613,2021_43,19
category_2,262384,2021_43,14
category_2,118033,2021_43,13
category_1,43657,2021_43,4
category_1,371104,2021_43,11
category_1,1090105,2021_43,2
category_3,132334,2021_43,7
category_2,267478,2021_43,4
category_1,35530,2021_43,15
category_2,1071124,2021_43,13
category_1,1067128,2021_43,13
category_2,1098493,2021_43,7
category_2,111436,2021_43,6
category_1,1084498,2021_43,16
category_4,1003183,2021_43,11
category_2,1105027,2021_43,3
category_2,86974,2021_43,1
category_1,1090114,2021_43,2
category_2,1105018,2021_43,3
category_2,1071115,2021_43,16
category_3,1097143,2021_43,12
category_1,1015621,2021_43,2
category_2,903976,2022_1,17
category_1,371239,2022_1,16
category_3,1081087,2022_1,6
category_3,169504,2022_1,635
category_1,1048975,2022_1,19
category_2,213802,2022_1,8
category_2,877624,2022_1,30
category_4,1060909,2022_1,79
category_1,43657,2022_1,8
category_1,1032559,2022_1,20
category_1,38518,2022_1,30
category_3,1047130,2022_1,36
category_2,1006108,2022_1,109
category_1,1047967,2022_1,128
category_2,59749,2022_1,55
category_1,42424,2022_1,39
category_1,839374,2022_1,107
category_1,1032532,2022_1,122
category_3,131983,2022_1,37
category_3,1060630,2022_1,33
category_1,36898,2022_1,105
category_2,836125,2022_1,23
category_1,1044682,2022_1,46
category_2,75886,2022_1,9
category_2,111382,2022_1,9
category_4,123307,2022_1,632
category_3,37861,2022_1,206
category_3,1063600,2022_1,20
category_2,20824,2022_1,91
category_3,1097143,2022_1,117
category_2,132028,2022_1,143
category_2,110320,2022_1,47
category_1,1050046,2022_1,53
category_2,1064473,2022_1,37
category_2,1090249,2022_1,44
category_2,1105018,2022_1,4
category_2,211309,2022_1,7
category_4,1003147,2022_1,115
category_2,1101562,2022_1,6
category_1,17296,2022_1,621
category_2,399220,2022_1,16
category_1,1068883,2022_1,4
category_2,86974,2022_1,36
category_4,1003156,2022_1,127
category_1,35530,2022_1,16
category_2,1067092,2022_1,99
category_1,119554,2022_1,265
category_1,1084498,2022_1,23
category_1,17287,2022_1,21
category_3,1090024,2022_1,20
category_2,172033,2022_1,19
category_4,1003183,2022_1,23
category_3,1081060,2022_1,50
category_1,755584,2022_1,53
category_2,124954,2022_1,20
category_2,248272,2022_1,20
category_2,815101,2022_1,22
category_1,145330,2022_1,17
category_1,3418,2022_1,83
category_3,16936,2022_1,74
category_3,88450,2022_1,30
category_1,1067119,2022_1,41
category_1,1081321,2022_1,32
category_1,1030948,2022_1,5
category_2,30877,2022_1,44
category_1,1032541,2022_1,100
category_3,893824,2022_1,47
category_1,86992,2022_1,41
category_1,1077118,2022_1,16
category_4,1003192,2022_1,28
category_1,142756,2022_1,34
category_2,32245,2022_1,78
category_4,836584,2022_1,271
category_1,145978,2022_1,49
category_1,370195,2022_1,57
category_2,41830,2022_1,19
category_2,87046,2022_1,7
category_1,1054978,2022_1,49
category_1,1085749,2022_1,9
category_1,1056463,2022_1,39
category_3,1066570,2022_1,55
category_1,1058713,2022_1,41
category_1,48940,2022_1,21
category_1,379249,2022_1,48
category_2,1070836,2022_1,10
category_3,1064572,2022_1,7
category_1,1032586,2022_1,19
category_1,1015621,2022_1,4
category_2,99079,2022_1,23
category_4,731104,2022_1,23
category_2,1076920,2022_1,7
category_2,1006090,2022_1,8
category_2,1090258,2022_1,7
category_2,173617,2022_1,44
category_2,1071106,2022_1,20
category_2,906595,2022_1,7
category_2,174436,2022_1,41
category_3,1081069,2022_1,17
category_3,1013335,2022_1,14
category_4,753613,2022_1,43
category_3,1101661,2022_1,31
category_2,1010068,2022_1,13
category_1,371104,2022_1,10
category_1,124774,2022_1,21
category_2,745945,2022_1,12
category_2,1090240,2022_1,140
category_2,836152,2022_1,20
category_2,40759,2022_1,37
category_2,118033,2022_1,27
category_2,1101553,2022_1,21
category_4,1074823,2022_1,36
category_1,24136,2022_1,31
category_1,76399,2022_1,45
category_1,35584,2022_1,4
category_2,210868,2022_1,8
category_2,138742,2022_1,21
category_2,837943,2022_1,63
category_2,1067074,2022_1,20
category_4,872260,2022_1,51
category_3,1081078,2022_1,16
category_2,50785,2022_1,5
category_1,839356,2022_1,68
category_1,3427,2022_1,66
category_2,216151,2022_1,17
category_2,999403,2022_1,34
category_1,1061638,2022_1,25
category_1,1075651,2022_1,11
category_2,1090276,2022_1,4
category_2,1006009,2022_1,2
category_2,1092184,2022_1,13
category_1,35449,2022_1,14
category_1,1090105,2022_1,10
category_2,1026871,2022_1,4
category_2,172582,2022_1,24
category_1,42496,2022_1,36
category_2,1101769,2022_1,5
category_1,1067128,2022_1,6
category_2,9925,2022_1,8
category_2,65788,2022_1,12
category_3,7666,2022_1,15
category_2,687616,2022_1,22
category_4,245581,2022_1,80
category_2,87559,2022_1,28
category_3,397213,2022_1,23
category_2,267496,2022_1,10
category_1,1061341,2022_1,69
category_2,262384,2022_1,11
category_1,1044610,2022_1,14
category_3,132334,2022_1,29
category_2,267478,2022_1,6
category_2,1098493,2022_1,10
category_4,1082743,2022_1,24
category_2,913561,2022_1,2
category_1,43738,2022_1,25
category_2,1070818,2022_1,4
category_2,1105027,2022_1,12
category_2,838456,2022_1,19
category_2,117610,2022_1,6
category_1,1090303,2022_1,4
category_2,1103056,2022_1,16
category_1,1090114,2022_1,4
category_1,416212,2022_1,7
category_1,1044619,2022_1,43
category_1,1049776,2022_1,1
category_1,1032568,2022_1,6
category_1,37510,2022_1,8
category_2,906586,2022_1,7
category_2,57058,2022_1,3
category_1,1081339,2022_1,11
category_2,858886,2022_1,15
category_2,130993,2022_1,8
category_2,64978,2022_1,3
category_2,1006099,2022_1,2
category_1,1032550,2022_1,33
category_1,1090294,2022_1,2
category_1,1044691,2022_1,25
category_1,59047,2022_1,8
category_4,1024810,2022_1,20
category_2,1044502,2022_1,19
category_2,1076929,2022_1,3
category_2,43630,2022_1,32
category_2,23569,2022_1,15
category_2,1071124,2022_1,3
category_2,865933,2022_1,10
category_2,1076938,2022_1,4
category_2,1105009,2022_1,6
category_2,39436,2022_1,16
category_2,1098502,2022_1,6
category_2,111436,2022_1,6
category_1,1021264,2022_1,9
category_2,1071115,2022_1,2
category_2,1101571,2022_1,1
category_2,865933,2022_6,21
category_1,1054978,2022_6,48
category_2,138742,2022_6,20
category_1,1044691,2022_6,23
category_2,64978,2022_6,5
category_1,48940,2022_6,16
category_2,1064473,2022_6,22
category_1,839374,2022_6,63
category_4,1003192,2022_6,77
category_2,913561,2022_6,15
category_2,1006090,2022_6,21
category_2,130993,2022_6,45
category_4,123307,2022_6,555
category_2,20824,2022_6,136
category_2,32245,2022_6,51
category_2,41830,2022_6,9
category_1,371104,2022_6,21
